,date,count,period,hour,minute,day,month,year,weekday,d0,d1,d2,d3,d4
0,2021-09-01 00:00:00,1318670,2021-09-01 00:00:00,0,0,1,9,2021,2,0,0,0,0,0
1,2021-09-01 00:15:00,1349174,2021-09-01 00:15:00,0,15,1,9,2021,2,1318670,0,0,0,0
2,2021-09-01 00:30:00,1420854,2021-09-01 00:30:00,0,30,1,9,2021,2,1349174,1318670,0,0,0
3,2021-09-01 00:45:00,1448289,2021-09-01 00:45:00,0,45,1,9,2021,2,1420854,1349174,1318670,0,0
4,2021-09-01 01:00:00,1430620,2021-09-01 01:00:00,1,0,1,9,2021,2,1448289,1420854,1349174,1318670,0
5,2021-09-01 01:15:00,1423319,2021-09-01 01:15:00,1,15,1,9,2021,2,1430620,1448289,1420854,1349174,1318670
6,2021-09-01 01:30:00,1382693,2021-09-01 01:30:00,1,30,1,9,2021,2,1423319,1430620,1448289,1420854,1349174
7,2021-09-01 01:45:00,1382395,2021-09-01 01:45:00,1,45,1,9,2021,2,1382693,1423319,1430620,1448289,1420854
8,2021-09-01 02:00:00,1387985,2021-09-01 02:00:00,2,0,1,9,2021,2,1382395,1382693,1423319,1430620,1448289
9,2021-09-01 02:15:00,1413064,2021-09-01 02:15:00,2,15,1,9,2021,2,1387985,1382395,1382693,1423319,1430620
10,2021-09-01 02:30:00,1407822,2021-09-01 02:30:00,2,30,1,9,2021,2,1413064,1387985,1382395,1382693,1423319
11,2021-09-01 02:45:00,1296392,2021-09-01 02:45:00,2,45,1,9,2021,2,1407822,1413064,1387985,1382395,1382693
12,2021-09-01 03:00:00,1281708,2021-09-01 03:00:00,3,0,1,9,2021,2,1296392,1407822,1413064,1387985,1382395
13,2021-09-01 03:15:00,1295077,2021-09-01 03:15:00,3,15,1,9,2021,2,1281708,1296392,1407822,1413064,1387985
14,2021-09-01 03:30:00,1288985,2021-09-01 03:30:00,3,30,1,9,2021,2,1295077,1281708,1296392,1407822,1413064
15,2021-09-01 03:45:00,1187520,2021-09-01 03:45:00,3,45,1,9,2021,2,1288985,1295077,1281708,1296392,1407822
16,2021-09-01 04:00:00,1199765,2021-09-01 04:00:00,4,0,1,9,2021,2,1187520,1288985,1295077,1281708,1296392
17,2021-09-01 04:15:00,1213201,2021-09-01 04:15:00,4,15,1,9,2021,2,1199765,1187520,1288985,1295077,1281708
18,2021-09-01 04:30:00,1226418,2021-09-01 04:30:00,4,30,1,9,2021,2,1213201,1199765,1187520,1288985,1295077
19,2021-09-01 04:45:00,1228793,2021-09-01 04:45:00,4,45,1,9,2021,2,1226418,1213201,1199765,1187520,1288985
20,2021-09-01 05:00:00,1235777,2021-09-01 05:00:00,5,0,1,9,2021,2,1228793,1226418,1213201,1199765,1187520
21,2021-09-01 05:15:00,1233792,2021-09-01 05:15:00,5,15,1,9,2021,2,1235777,1228793,1226418,1213201,1199765
22,2021-09-01 05:30:00,1274453,2021-09-01 05:30:00,5,30,1,9,2021,2,1233792,1235777,1228793,1226418,1213201
23,2021-09-01 05:45:00,1276450,2021-09-01 05:45:00,5,45,1,9,2021,2,1274453,1233792,1235777,1228793,1226418
24,2021-09-01 06:00:00,1245179,2021-09-01 06:00:00,6,0,1,9,2021,2,1276450,1274453,1233792,1235777,1228793
25,2021-09-01 06:15:00,1374792,2021-09-01 06:15:00,6,15,1,9,2021,2,1245179,1276450,1274453,1233792,1235777
26,2021-09-01 06:30:00,1369427,2021-09-01 06:30:00,6,30,1,9,2021,2,1374792,1245179,1276450,1274453,1233792
27,2021-09-01 06:45:00,1382272,2021-09-01 06:45:00,6,45,1,9,2021,2,1369427,1374792,1245179,1276450,1274453
28,2021-09-01 07:00:00,1378580,2021-09-01 07:00:00,7,0,1,9,2021,2,1382272,1369427,1374792,1245179,1276450
29,2021-09-01 07:15:00,1428190,2021-09-01 07:15:00,7,15,1,9,2021,2,1378580,1382272,1369427,1374792,1245179
30,2021-09-01 07:30:00,1443057,2021-09-01 07:30:00,7,30,1,9,2021,2,1428190,1378580,1382272,1369427,1374792
31,2021-09-01 07:45:00,1442414,2021-09-01 07:45:00,7,45,1,9,2021,2,1443057,1428190,1378580,1382272,1369427
32,2021-09-01 08:00:00,1447524,2021-09-01 08:00:00,8,0,1,9,2021,2,1442414,1443057,1428190,1378580,1382272
33,2021-09-01 08:15:00,1441599,2021-09-01 08:15:00,8,15,1,9,2021,2,1447524,1442414,1443057,1428190,1378580
34,2021-09-01 08:30:00,1462350,2021-09-01 08:30:00,8,30,1,9,2021,2,1441599,1447524,1442414,1443057,1428190
35,2021-09-01 08:45:00,1534879,2021-09-01 08:45:00,8,45,1,9,2021,2,1462350,1441599,1447524,1442414,1443057
36,2021-09-01 09:00:00,1564292,2021-09-01 09:00:00,9,0,1,9,2021,2,1534879,1462350,1441599,1447524,1442414
37,2021-09-01 09:15:00,1567108,2021-09-01 09:15:00,9,15,1,9,2021,2,1564292,1534879,1462350,1441599,1447524
38,2021-09-01 09:30:00,1568627,2021-09-01 09:30:00,9,30,1,9,2021,2,1567108,1564292,1534879,1462350,1441599
39,2021-09-01 09:45:00,1510730,2021-09-01 09:45:00,9,45,1,9,2021,2,1568627,1567108,1564292,1534879,1462350
40,2021-09-01 10:00:00,1514649,2021-09-01 10:00:00,10,0,1,9,2021,2,1510730,1568627,1567108,1564292,1534879
41,2021-09-01 10:15:00,1478638,2021-09-01 10:15:00,10,15,1,9,2021,2,1514649,1510730,1568627,1567108,1564292
42,2021-09-01 10:30:00,1473116,2021-09-01 10:30:00,10,30,1,9,2021,2,1478638,1514649,1510730,1568627,1567108
43,2021-09-01 10:45:00,1416717,2021-09-01 10:45:00,10,45,1,9,2021,2,1473116,1478638,1514649,1510730,1568627
44,2021-09-01 11:00:00,1416724,2021-09-01 11:00:00,11,0,1,9,2021,2,1416717,1473116,1478638,1514649,1510730
45,2021-09-01 11:15:00,1493319,2021-09-01 11:15:00,11,15,1,9,2021,2,1416724,1416717,1473116,1478638,1514649
46,2021-09-01 11:30:00,1495112,2021-09-01 11:30:00,11,30,1,9,2021,2,1493319,1416724,1416717,1473116,1478638
47,2021-09-01 11:45:00,1513274,2021-09-01 11:45:00,11,45,1,9,2021,2,1495112,1493319,1416724,1416717,1473116
48,2021-09-01 12:00:00,1507253,2021-09-01 12:00:00,12,0,1,9,2021,2,1513274,1495112,1493319,1416724,1416717
49,2021-09-01 12:15:00,1505099,2021-09-01 12:15:00,12,15,1,9,2021,2,1507253,1513274,1495112,1493319,1416724
50,2021-09-01 12:30:00,1453812,2021-09-01 12:30:00,12,30,1,9,2021,2,1505099,1507253,1513274,1495112,1493319
51,2021-09-01 12:45:00,1452522,2021-09-01 12:45:00,12,45,1,9,2021,2,1453812,1505099,1507253,1513274,1495112
52,2021-09-01 13:00:00,1470352,2021-09-01 13:00:00,13,0,1,9,2021,2,1452522,1453812,1505099,1507253,1513274
53,2021-09-01 13:15:00,1501964,2021-09-01 13:15:00,13,15,1,9,2021,2,1470352,1452522,1453812,1505099,1507253
54,2021-09-01 13:30:00,1499217,2021-09-01 13:30:00,13,30,1,9,2021,2,1501964,1470352,1452522,1453812,1505099
55,2021-09-01 13:45:00,1496558,2021-09-01 13:45:00,13,45,1,9,2021,2,1499217,1501964,1470352,1452522,1453812
56,2021-09-01 14:00:00,1502537,2021-09-01 14:00:00,14,0,1,9,2021,2,1496558,1499217,1501964,1470352,1452522
57,2021-09-01 14:15:00,1470431,2021-09-01 14:15:00,14,15,1,9,2021,2,1502537,1496558,1499217,1501964,1470352
58,2021-09-01 14:30:00,1417416,2021-09-01 14:30:00,14,30,1,9,2021,2,1470431,1502537,1496558,1499217,1501964
59,2021-09-01 14:45:00,1372077,2021-09-01 14:45:00,14,45,1,9,2021,2,1417416,1470431,1502537,1496558,1499217
60,2021-09-01 15:00:00,1374212,2021-09-01 15:00:00,15,0,1,9,2021,2,1372077,1417416,1470431,1502537,1496558
61,2021-09-01 15:15:00,1374198,2021-09-01 15:15:00,15,15,1,9,2021,2,1374212,1372077,1417416,1470431,1502537
62,2021-09-01 15:30:00,1393387,2021-09-01 15:30:00,15,30,1,9,2021,2,1374198,1374212,1372077,1417416,1470431
63,2021-09-01 15:45:00,1396102,2021-09-01 15:45:00,15,45,1,9,2021,2,1393387,1374198,1374212,1372077,1417416
64,2021-09-01 16:00:00,1426643,2021-09-01 16:00:00,16,0,1,9,2021,2,1396102,1393387,1374198,1374212,1372077
65,2021-09-01 16:15:00,1417520,2021-09-01 16:15:00,16,15,1,9,2021,2,1426643,1396102,1393387,1374198,1374212
66,2021-09-01 16:30:00,1382447,2021-09-01 16:30:00,16,30,1,9,2021,2,1417520,1426643,1396102,1393387,1374198
67,2021-09-01 16:45:00,1432988,2021-09-01 16:45:00,16,45,1,9,2021,2,1382447,1417520,1426643,1396102,1393387
68,2021-09-01 17:00:00,1407178,2021-09-01 17:00:00,17,0,1,9,2021,2,1432988,1382447,1417520,1426643,1396102
69,2021-09-01 17:15:00,1483822,2021-09-01 17:15:00,17,15,1,9,2021,2,1407178,1432988,1382447,1417520,1426643
70,2021-09-01 17:30:00,1525476,2021-09-01 17:30:00,17,30,1,9,2021,2,1483822,1407178,1432988,1382447,1417520
71,2021-09-01 17:45:00,1494291,2021-09-01 17:45:00,17,45,1,9,2021,2,1525476,1483822,1407178,1432988,1382447
72,2021-09-01 18:00:00,1495000,2021-09-01 18:00:00,18,0,1,9,2021,2,1494291,1525476,1483822,1407178,1432988
73,2021-09-01 18:15:00,1462661,2021-09-01 18:15:00,18,15,1,9,2021,2,1495000,1494291,1525476,1483822,1407178
74,2021-09-01 18:30:00,1499359,2021-09-01 18:30:00,18,30,1,9,2021,2,1462661,1495000,1494291,1525476,1483822
75,2021-09-01 18:45:00,1497964,2021-09-01 18:45:00,18,45,1,9,2021,2,1499359,1462661,1495000,1494291,1525476
76,2021-09-01 19:00:00,1509670,2021-09-01 19:00:00,19,0,1,9,2021,2,1497964,1499359,1462661,1495000,1494291
77,2021-09-01 19:15:00,1535847,2021-09-01 19:15:00,19,15,1,9,2021,2,1509670,1497964,1499359,1462661,1495000
78,2021-09-01 19:30:00,1534836,2021-09-01 19:30:00,19,30,1,9,2021,2,1535847,1509670,1497964,1499359,1462661
79,2021-09-01 19:45:00,1560952,2021-09-01 19:45:00,19,45,1,9,2021,2,1534836,1535847,1509670,1497964,1499359
80,2021-09-01 20:00:00,1505908,2021-09-01 20:00:00,20,0,1,9,2021,2,1560952,1534836,1535847,1509670,1497964
81,2021-09-01 20:15:00,1503017,2021-09-01 20:15:00,20,15,1,9,2021,2,1505908,1560952,1534836,1535847,1509670
82,2021-09-01 20:30:00,1568115,2021-09-01 20:30:00,20,30,1,9,2021,2,1503017,1505908,1560952,1534836,1535847
83,2021-09-01 20:45:00,1559386,2021-09-01 20:45:00,20,45,1,9,2021,2,1568115,1503017,1505908,1560952,1534836
84,2021-09-01 21:00:00,1575006,2021-09-01 21:00:00,21,0,1,9,2021,2,1559386,1568115,1503017,1505908,1560952
85,2021-09-01 21:15:00,1566464,2021-09-01 21:15:00,21,15,1,9,2021,2,1575006,1559386,1568115,1503017,1505908
86,2021-09-01 21:30:00,1636633,2021-09-01 21:30:00,21,30,1,9,2021,2,1566464,1575006,1559386,1568115,1503017
87,2021-09-01 21:45:00,1669208,2021-09-01 21:45:00,21,45,1,9,2021,2,1636633,1566464,1575006,1559386,1568115
88,2021-09-01 22:00:00,1691640,2021-09-01 22:00:00,22,0,1,9,2021,2,1669208,1636633,1566464,1575006,1559386
89,2021-09-01 22:15:00,1687135,2021-09-01 22:15:00,22,15,1,9,2021,2,1691640,1669208,1636633,1566464,1575006
90,2021-09-01 22:30:00,1666835,2021-09-01 22:30:00,22,30,1,9,2021,2,1687135,1691640,1669208,1636633,1566464
91,2021-09-01 22:45:00,1667820,2021-09-01 22:45:00,22,45,1,9,2021,2,1666835,1687135,1691640,1669208,1636633
