,count,period,hour,minute,day,month,year,weekday,d0,d1,d2,d3,d4
0,724747,2021-09-01 00:00:00,0,0,1,9,2021,2,0,0,0,0,0
1,655637,2021-09-01 00:15:00,0,15,1,9,2021,2,724747,0,0,0,0
2,611038,2021-09-01 00:30:00,0,30,1,9,2021,2,655637,724747,0,0,0
3,516339,2021-09-01 00:45:00,0,45,1,9,2021,2,611038,655637,724747,0,0
4,409330,2021-09-01 01:00:00,1,0,1,9,2021,2,516339,611038,655637,724747,0
5,333419,2021-09-01 01:15:00,1,15,1,9,2021,2,409330,516339,611038,655637,724747
6,299490,2021-09-01 01:30:00,1,30,1,9,2021,2,333419,409330,516339,611038,655637
7,244331,2021-09-01 01:45:00,1,45,1,9,2021,2,299490,333419,409330,516339,611038
8,212086,2021-09-01 02:00:00,2,0,1,9,2021,2,244331,299490,333419,409330,516339
9,188671,2021-09-01 02:15:00,2,15,1,9,2021,2,212086,244331,299490,333419,409330
10,171764,2021-09-01 02:30:00,2,30,1,9,2021,2,188671,212086,244331,299490,333419
11,163424,2021-09-01 02:45:00,2,45,1,9,2021,2,171764,188671,212086,244331,299490
12,148189,2021-09-01 03:00:00,3,0,1,9,2021,2,163424,171764,188671,212086,244331
13,154902,2021-09-01 03:15:00,3,15,1,9,2021,2,148189,163424,171764,188671,212086
14,160042,2021-09-01 03:30:00,3,30,1,9,2021,2,154902,148189,163424,171764,188671
15,155728,2021-09-01 03:45:00,3,45,1,9,2021,2,160042,154902,148189,163424,171764
16,139720,2021-09-01 04:00:00,4,0,1,9,2021,2,155728,160042,154902,148189,163424
17,137106,2021-09-01 04:15:00,4,15,1,9,2021,2,139720,155728,160042,154902,148189
18,139732,2021-09-01 04:30:00,4,30,1,9,2021,2,137106,139720,155728,160042,154902
19,151321,2021-09-01 04:45:00,4,45,1,9,2021,2,139732,137106,139720,155728,160042
20,158703,2021-09-01 05:00:00,5,0,1,9,2021,2,151321,139732,137106,139720,155728
21,187862,2021-09-01 05:15:00,5,15,1,9,2021,2,158703,151321,139732,137106,139720
22,229768,2021-09-01 05:30:00,5,30,1,9,2021,2,187862,158703,151321,139732,137106
23,299555,2021-09-01 05:45:00,5,45,1,9,2021,2,229768,187862,158703,151321,139732
24,384977,2021-09-01 06:00:00,6,0,1,9,2021,2,299555,229768,187862,158703,151321
25,578976,2021-09-01 06:15:00,6,15,1,9,2021,2,384977,299555,229768,187862,158703
26,823997,2021-09-01 06:30:00,6,30,1,9,2021,2,578976,384977,299555,229768,187862
27,1083246,2021-09-01 06:45:00,6,45,1,9,2021,2,823997,578976,384977,299555,229768
28,1275150,2021-09-01 07:00:00,7,0,1,9,2021,2,1083246,823997,578976,384977,299555
29,1458144,2021-09-01 07:15:00,7,15,1,9,2021,2,1275150,1083246,823997,578976,384977
30,1726176,2021-09-01 07:30:00,7,30,1,9,2021,2,1458144,1275150,1083246,823997,578976
31,2022036,2021-09-01 07:45:00,7,45,1,9,2021,2,1726176,1458144,1275150,1083246,823997
32,2179322,2021-09-01 08:00:00,8,0,1,9,2021,2,2022036,1726176,1458144,1275150,1083246
33,2221070,2021-09-01 08:15:00,8,15,1,9,2021,2,2179322,2022036,1726176,1458144,1275150
34,2322627,2021-09-01 08:30:00,8,30,1,9,2021,2,2221070,2179322,2022036,1726176,1458144
35,2426938,2021-09-01 08:45:00,8,45,1,9,2021,2,2322627,2221070,2179322,2022036,1726176
36,2476363,2021-09-01 09:00:00,9,0,1,9,2021,2,2426938,2322627,2221070,2179322,2022036
37,2384684,2021-09-01 09:15:00,9,15,1,9,2021,2,2476363,2426938,2322627,2221070,2179322
38,2317165,2021-09-01 09:30:00,9,30,1,9,2021,2,2384684,2476363,2426938,2322627,2221070
39,2221925,2021-09-01 09:45:00,9,45,1,9,2021,2,2317165,2384684,2476363,2426938,2322627
40,2214502,2021-09-01 10:00:00,10,0,1,9,2021,2,2221925,2317165,2384684,2476363,2426938
41,2097544,2021-09-01 10:15:00,10,15,1,9,2021,2,2214502,2221925,2317165,2384684,2476363
42,2047500,2021-09-01 10:30:00,10,30,1,9,2021,2,2097544,2214502,2221925,2317165,2384684
43,2047805,2021-09-01 10:45:00,10,45,1,9,2021,2,2047500,2097544,2214502,2221925,2317165
44,2069812,2021-09-01 11:00:00,11,0,1,9,2021,2,2047805,2047500,2097544,2214502,2221925
45,2054987,2021-09-01 11:15:00,11,15,1,9,2021,2,2069812,2047805,2047500,2097544,2214502
46,2122954,2021-09-01 11:30:00,11,30,1,9,2021,2,2054987,2069812,2047805,2047500,2097544
47,2084515,2021-09-01 11:45:00,11,45,1,9,2021,2,2122954,2054987,2069812,2047805,2047500
48,2107302,2021-09-01 12:00:00,12,0,1,9,2021,2,2084515,2122954,2054987,2069812,2047805
49,2072675,2021-09-01 12:15:00,12,15,1,9,2021,2,2107302,2084515,2122954,2054987,2069812
50,2088044,2021-09-01 12:30:00,12,30,1,9,2021,2,2072675,2107302,2084515,2122954,2054987
51,2127140,2021-09-01 12:45:00,12,45,1,9,2021,2,2088044,2072675,2107302,2084515,2122954
52,2141926,2021-09-01 13:00:00,13,0,1,9,2021,2,2127140,2088044,2072675,2107302,2084515
53,2144004,2021-09-01 13:15:00,13,15,1,9,2021,2,2141926,2127140,2088044,2072675,2107302
54,2227410,2021-09-01 13:30:00,13,30,1,9,2021,2,2144004,2141926,2127140,2088044,2072675
55,2302123,2021-09-01 13:45:00,13,45,1,9,2021,2,2227410,2144004,2141926,2127140,2088044
56,2358227,2021-09-01 14:00:00,14,0,1,9,2021,2,2302123,2227410,2144004,2141926,2127140
57,2464820,2021-09-01 14:15:00,14,15,1,9,2021,2,2358227,2302123,2227410,2144004,2141926
58,2584364,2021-09-01 14:30:00,14,30,1,9,2021,2,2464820,2358227,2302123,2227410,2144004
59,2568902,2021-09-01 14:45:00,14,45,1,9,2021,2,2584364,2464820,2358227,2302123,2227410
60,2457719,2021-09-01 15:00:00,15,0,1,9,2021,2,2568902,2584364,2464820,2358227,2302123
61,2401013,2021-09-01 15:15:00,15,15,1,9,2021,2,2457719,2568902,2584364,2464820,2358227
62,2356441,2021-09-01 15:30:00,15,30,1,9,2021,2,2401013,2457719,2568902,2584364,2464820
63,2291473,2021-09-01 15:45:00,15,45,1,9,2021,2,2356441,2401013,2457719,2568902,2584364
64,2198556,2021-09-01 16:00:00,16,0,1,9,2021,2,2291473,2356441,2401013,2457719,2568902
65,2076060,2021-09-01 16:15:00,16,15,1,9,2021,2,2198556,2291473,2356441,2401013,2457719
66,2111607,2021-09-01 16:30:00,16,30,1,9,2021,2,2076060,2198556,2291473,2356441,2401013
67,2171793,2021-09-01 16:45:00,16,45,1,9,2021,2,2111607,2076060,2198556,2291473,2356441
68,2213192,2021-09-01 17:00:00,17,0,1,9,2021,2,2171793,2111607,2076060,2198556,2291473
69,2173024,2021-09-01 17:15:00,17,15,1,9,2021,2,2213192,2171793,2111607,2076060,2198556
70,2227227,2021-09-01 17:30:00,17,30,1,9,2021,2,2173024,2213192,2171793,2111607,2076060
71,2279697,2021-09-01 17:45:00,17,45,1,9,2021,2,2227227,2173024,2213192,2171793,2111607
72,2338956,2021-09-01 18:00:00,18,0,1,9,2021,2,2279697,2227227,2173024,2213192,2171793
73,2389344,2021-09-01 18:15:00,18,15,1,9,2021,2,2338956,2279697,2227227,2173024,2213192
74,2434634,2021-09-01 18:30:00,18,30,1,9,2021,2,2389344,2338956,2279697,2227227,2173024
